TAZID,commercial,resident,industrial,public,transport,other
1327,0.158416,0.154275,0.166847,0.154606,0.193467,0.172388
1328,0.158499,0.154263,0.166596,0.154971,0.19293,0.172741
1329,0.166698,0.159628,0.162763,0.155688,0.182803,0.17242
1330,0.169532,0.16234,0.159766,0.155194,0.181335,0.171834
1331,0.158527,0.154471,0.167002,0.154619,0.192561,0.17282
1332,0.161337,0.1567,0.165393,0.156088,0.187824,0.172658
1333,0.158877,0.154827,0.166155,0.155372,0.191926,0.172843
1334,0.161088,0.156488,0.165672,0.155942,0.188242,0.172567
1335,0.158785,0.154558,0.166414,0.155276,0.192109,0.172859
1336,0.164962,0.158704,0.164179,0.155656,0.184242,0.172257
1337,0.166687,0.160087,0.16254,0.155536,0.183317,0.171833
1338,0.160118,0.156237,0.165761,0.155765,0.189508,0.17261
1339,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1340,0.169683,0.162192,0.159823,0.15518,0.181101,0.172022
1341,0.1585,0.15413,0.166808,0.154776,0.19338,0.172405
1342,0.161699,0.157245,0.165373,0.155925,0.187292,0.172467
1343,0.158533,0.15439,0.166842,0.154773,0.192677,0.172785
1344,0.158868,0.154507,0.166525,0.155152,0.192105,0.172843
1345,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1346,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1347,0.158822,0.15448,0.166508,0.154886,0.192218,0.173086
1348,0.161863,0.157089,0.165286,0.156058,0.187166,0.172538
1349,0.159241,0.155189,0.166006,0.156004,0.190107,0.173453
1350,0.158155,0.153994,0.166959,0.154752,0.193843,0.172297
1351,0.161862,0.157173,0.165253,0.156148,0.186882,0.172681
1352,0.161855,0.157163,0.165344,0.15611,0.186987,0.172541
1353,0.163298,0.158001,0.164773,0.156116,0.185003,0.17281
1354,0.158574,0.154328,0.166546,0.155255,0.192497,0.1728
1355,0.162147,0.157052,0.16524,0.156197,0.186687,0.172677
1356,0.163094,0.158104,0.164996,0.15568,0.186197,0.171928
1357,0.162553,0.157408,0.165119,0.156303,0.186059,0.172558
1358,0.16098,0.156553,0.165727,0.155699,0.188484,0.172556
1359,0.164897,0.158771,0.164132,0.155679,0.183986,0.172536
1360,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1361,0.169578,0.162358,0.159613,0.155225,0.181504,0.171722
1362,0.158879,0.15478,0.166138,0.155617,0.19142,0.173166
1363,0.158861,0.155582,0.165878,0.155736,0.191038,0.172905
1364,0.158631,0.154485,0.166673,0.154933,0.192463,0.172814
1365,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1366,0.163441,0.158026,0.164677,0.156079,0.184904,0.172873
1367,0.15843,0.1543,0.166836,0.154809,0.192882,0.172742
1368,0.158524,0.154276,0.166655,0.154991,0.193036,0.172519
1369,0.161896,0.15714,0.165328,0.156146,0.186873,0.172616
1370,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1371,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1372,0.163282,0.157986,0.164625,0.156037,0.185333,0.172737
1373,0.161265,0.156866,0.165626,0.155734,0.18813,0.172378
1374,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1375,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1376,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1377,0.158577,0.154412,0.166715,0.1549,0.192633,0.172764
1378,0.166492,0.160052,0.16278,0.155309,0.183495,0.171872
1379,0.158647,0.154424,0.166139,0.155469,0.192364,0.172957
1380,0.158628,0.154631,0.166545,0.155073,0.192276,0.172847
1381,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1382,0.163251,0.157891,0.164928,0.156047,0.185143,0.17274
1383,0.158983,0.154469,0.166603,0.15505,0.192075,0.17282
1384,0.166771,0.160079,0.162432,0.155355,0.183264,0.172099
1385,0.165117,0.1587,0.164073,0.155555,0.183657,0.172898
1386,0.169637,0.16243,0.159631,0.155284,0.181184,0.171834
1387,0.158569,0.154401,0.166606,0.154934,0.192753,0.172736
1388,0.162075,0.157208,0.165182,0.15622,0.186744,0.172571
1389,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1390,0.161847,0.157171,0.165449,0.155837,0.187106,0.17259
1391,0.158593,0.15452,0.166582,0.155205,0.192397,0.172703
1392,0.161999,0.157076,0.165222,0.156271,0.186817,0.172614
1393,0.169603,0.162038,0.159829,0.155396,0.181008,0.172126
1394,0.158879,0.154652,0.166557,0.154882,0.192088,0.172942
1395,0.158547,0.155047,0.166492,0.154659,0.192041,0.173213
1396,0.161188,0.156753,0.165512,0.156066,0.187727,0.172754
1397,0.158828,0.154558,0.166463,0.155079,0.192098,0.172974
1398,0.163765,0.158143,0.164198,0.156365,0.184539,0.172991
1399,0.160772,0.156225,0.165758,0.155792,0.188788,0.172666
1400,0.161316,0.156739,0.165491,0.155934,0.187883,0.172637
1401,0.162141,0.157635,0.165165,0.156005,0.186869,0.172185
1402,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1403,0.163278,0.157964,0.164772,0.156068,0.185351,0.172567
1404,0.164793,0.158811,0.164139,0.155641,0.184362,0.172254
1405,0.166634,0.160093,0.16256,0.155438,0.183087,0.17219
1406,0.166801,0.159898,0.162574,0.155402,0.182981,0.172344
1407,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1408,0.161687,0.157074,0.165519,0.155913,0.187601,0.172207
1409,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1410,0.163119,0.158004,0.164763,0.156081,0.18553,0.172503
1411,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1412,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1413,0.16088,0.156459,0.165857,0.155626,0.188867,0.172311
1414,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1415,0.158548,0.154245,0.166665,0.154634,0.193098,0.17281
1416,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1417,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1418,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1419,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1420,0.169637,0.162283,0.159663,0.155335,0.181118,0.171964
1421,0.166647,0.160014,0.162613,0.155378,0.183439,0.171909
1422,0.158776,0.154439,0.166453,0.155113,0.192357,0.172863
1423,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1424,0.161499,0.156672,0.165417,0.155942,0.18774,0.17273
1425,0.158594,0.154247,0.166626,0.154924,0.193002,0.172607
1426,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1427,0.1614,0.156905,0.165462,0.155872,0.187825,0.172535
1428,0.160376,0.156208,0.16596,0.15533,0.189606,0.17252
1429,0.163543,0.158041,0.164631,0.155769,0.1856,0.172416
1430,0.160399,0.156267,0.165857,0.155467,0.189479,0.17253
1431,0.160751,0.156336,0.165807,0.155854,0.188684,0.172569
1432,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1433,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1434,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1435,0.161779,0.15707,0.165415,0.156004,0.187196,0.172536
1436,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1437,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1438,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1439,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1440,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1441,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1442,0.165105,0.158668,0.1642,0.155645,0.183755,0.172626
1443,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1444,0.16492,0.158781,0.164142,0.155553,0.18388,0.172724
1445,0.16646,0.160194,0.162682,0.155402,0.183793,0.171469
1446,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1447,0.161874,0.157041,0.165486,0.156009,0.187059,0.172531
1448,0.166739,0.159809,0.162656,0.155575,0.182759,0.172462
1449,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1450,0.158597,0.154668,0.16641,0.155172,0.192376,0.172777
1451,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1452,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1453,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1454,0.163378,0.15797,0.164764,0.155933,0.18526,0.172695
1455,0.158837,0.154495,0.166511,0.15488,0.192373,0.172903
1456,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1457,0.166882,0.159635,0.162663,0.155565,0.182556,0.1727
1458,0.158521,0.154508,0.1666,0.154957,0.192696,0.172718
1459,0.161938,0.157247,0.16521,0.156203,0.186625,0.172777
1460,0.158991,0.15497,0.166349,0.154992,0.191556,0.173143
1461,0.163228,0.158074,0.164811,0.155745,0.185835,0.172306
1462,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1463,0.160684,0.15628,0.165607,0.156031,0.188829,0.172569
1464,0.158227,0.154022,0.166825,0.154928,0.193487,0.172511
1465,0.158593,0.154494,0.16645,0.155029,0.192584,0.172849
1466,0.169596,0.162211,0.159841,0.15518,0.181079,0.172094
1467,0.15859,0.154458,0.166576,0.154944,0.192904,0.172528
1468,0.166662,0.160122,0.162542,0.155489,0.183015,0.172171
1469,0.159712,0.155536,0.166282,0.155292,0.190581,0.172596
1470,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1471,0.158922,0.154365,0.166403,0.154957,0.192241,0.173112
1472,0.15896,0.154708,0.166392,0.155079,0.191913,0.172948
1473,0.168296,0.161074,0.161094,0.15536,0.182016,0.17216
1474,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1475,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1476,0.158394,0.154096,0.166749,0.154772,0.193448,0.172541
1477,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1478,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1479,0.158628,0.15447,0.166521,0.154949,0.192661,0.172772
1480,0.158854,0.155434,0.165859,0.156147,0.190527,0.173179
1481,0.163316,0.157985,0.164686,0.156105,0.185009,0.172899
1482,0.163628,0.158032,0.164763,0.156147,0.184686,0.172745
1483,0.163637,0.158083,0.16444,0.156222,0.184522,0.173096
1484,0.158483,0.154889,0.166475,0.155208,0.191951,0.172994
1485,0.158791,0.154793,0.166373,0.155871,0.191275,0.172896
1486,0.160088,0.15604,0.166006,0.155494,0.189822,0.172549
1487,0.163369,0.157977,0.164474,0.156232,0.185004,0.172944
1488,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1489,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1490,0.162362,0.157082,0.16509,0.156417,0.186421,0.172628
1491,0.15825,0.154212,0.166609,0.154875,0.193398,0.172656
1492,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1493,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1494,0.158648,0.154556,0.166545,0.15515,0.192326,0.172776
1495,0.160035,0.155764,0.16616,0.155557,0.189944,0.172541
1496,0.166654,0.160116,0.162645,0.15518,0.183421,0.171985
1497,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1498,0.158802,0.154667,0.166302,0.155259,0.191879,0.173091
1499,0.163215,0.158002,0.164788,0.156088,0.185382,0.172523
1500,0.166742,0.159914,0.162508,0.155568,0.182782,0.172486
1501,0.162372,0.157581,0.16527,0.155961,0.186243,0.172573
1502,0.16355,0.157891,0.164713,0.156112,0.184846,0.172889
1503,0.166369,0.160269,0.162713,0.15531,0.183959,0.171381
1504,0.166526,0.160087,0.162728,0.155446,0.183068,0.172145
1505,0.160831,0.156248,0.165742,0.155809,0.188667,0.172703
1506,0.162613,0.157551,0.16495,0.156285,0.18581,0.172791
1507,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1508,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1509,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1510,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1511,0.163315,0.157952,0.164659,0.156118,0.184968,0.172988
1512,0.162434,0.157548,0.165096,0.156255,0.18608,0.172587
1513,0.166651,0.159898,0.162733,0.155424,0.183018,0.172276
1514,0.158638,0.154542,0.166718,0.1548,0.192295,0.173007
1515,0.161928,0.156946,0.165474,0.155938,0.187157,0.172557
1516,0.158659,0.154578,0.166496,0.15517,0.192242,0.172855
1517,0.158178,0.154248,0.166882,0.154804,0.193315,0.172573
1518,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1519,0.158481,0.154659,0.166256,0.155334,0.192252,0.173018
1520,0.164961,0.158682,0.164084,0.15544,0.184329,0.172504
1521,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1522,0.163244,0.157979,0.164811,0.156015,0.185436,0.172516
1523,0.15849,0.155341,0.166219,0.155338,0.191908,0.172703
1524,0.158711,0.154468,0.166601,0.155041,0.192398,0.17278
1525,0.160192,0.155953,0.166089,0.155452,0.189819,0.172495
1526,0.157645,0.154079,0.166744,0.154757,0.194157,0.172618
1527,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1528,0.166552,0.160076,0.162908,0.155077,0.183682,0.171705
1529,0.16661,0.159991,0.162595,0.155532,0.183182,0.17209
1530,0.161128,0.156694,0.165572,0.155711,0.188242,0.172652
1531,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1532,0.169643,0.162211,0.159731,0.155299,0.180947,0.172169
1533,0.166529,0.159822,0.163028,0.155158,0.183281,0.172182
1534,0.162083,0.157042,0.165425,0.15623,0.186799,0.172421
1535,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1536,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1537,0.166639,0.160041,0.162695,0.155317,0.183079,0.172229
1538,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1539,0.162032,0.157001,0.165329,0.156104,0.186957,0.172577
1540,0.16502,0.158639,0.164144,0.155693,0.183925,0.172579
1541,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1542,0.161847,0.157122,0.165372,0.155993,0.18714,0.172525
1543,0.169477,0.162542,0.159771,0.15503,0.181495,0.171684
1544,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1545,0.166237,0.160439,0.162703,0.155558,0.183771,0.171292
1546,0.158744,0.154672,0.166401,0.155235,0.192089,0.172858
1547,0.163184,0.158123,0.164734,0.156231,0.185205,0.172523
1548,0.16227,0.157343,0.164975,0.156369,0.186371,0.172672
1549,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1550,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1551,0.166818,0.159801,0.16255,0.155608,0.182718,0.172504
1552,0.166654,0.159998,0.162686,0.155257,0.183084,0.17232
1553,0.160758,0.156504,0.165804,0.155545,0.188984,0.172405
1554,0.158247,0.154238,0.166684,0.155055,0.193148,0.172628
1555,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1556,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1557,0.161903,0.156996,0.165529,0.155984,0.187146,0.172441
1558,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1559,0.158737,0.154764,0.166252,0.155047,0.192312,0.172888
1560,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1561,0.165036,0.158639,0.164197,0.155695,0.184129,0.172304
1562,0.166855,0.159699,0.162483,0.155539,0.182469,0.172955
1563,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1564,0.158993,0.154502,0.166461,0.155056,0.191935,0.173053
1565,0.158774,0.154742,0.166334,0.154896,0.192177,0.173078
1566,0.15892,0.154685,0.166072,0.155125,0.19189,0.173308
1567,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1568,0.162076,0.157112,0.165233,0.155965,0.186864,0.17275
1569,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1570,0.165012,0.158695,0.164186,0.155563,0.183924,0.17262
1571,0.162167,0.157172,0.165327,0.156385,0.186446,0.172503
1572,0.165385,0.159082,0.163744,0.155668,0.183779,0.172341
1573,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1574,0.163169,0.15794,0.164917,0.156128,0.185349,0.172498
1575,0.161137,0.156612,0.16564,0.15571,0.188248,0.172653
1576,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1577,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1578,0.166537,0.15996,0.162707,0.155755,0.182708,0.172333
1579,0.165367,0.159195,0.163809,0.155433,0.183883,0.172314
1580,0.158995,0.1549,0.166126,0.155641,0.191291,0.173046
1581,0.158455,0.154397,0.166491,0.154995,0.192751,0.172911
1582,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1583,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1584,0.169499,0.162424,0.159723,0.155183,0.181274,0.171897
1585,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1586,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1587,0.15846,0.15409,0.16676,0.155022,0.193143,0.172526
1588,0.166609,0.160124,0.162586,0.155159,0.183396,0.172127
1589,0.165106,0.158755,0.164083,0.155586,0.183927,0.172543
1590,0.160505,0.156145,0.165842,0.155596,0.18931,0.172603
1591,0.164921,0.158677,0.1642,0.155543,0.184141,0.172519
1592,0.160942,0.156551,0.165749,0.155639,0.188636,0.172485
1593,0.164749,0.15882,0.164314,0.155521,0.184396,0.172199
1594,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1595,0.158659,0.15448,0.1668,0.154785,0.192541,0.172736
1596,0.158891,0.155065,0.166382,0.15562,0.190853,0.173188
1597,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1598,0.169651,0.162255,0.159861,0.154936,0.181183,0.172114
1599,0.166629,0.159991,0.162696,0.155528,0.183045,0.17211
1600,0.169598,0.162323,0.159665,0.155216,0.1812,0.171999
1601,0.15863,0.154565,0.166467,0.155227,0.192325,0.172787
1602,0.169566,0.16237,0.15969,0.155251,0.181097,0.172026
1603,0.160913,0.156276,0.165737,0.155906,0.18865,0.172517
1604,0.161873,0.157084,0.165344,0.15601,0.18717,0.172519
1605,0.160887,0.156329,0.165744,0.155881,0.188569,0.17259
1606,0.163137,0.158072,0.164649,0.15615,0.185834,0.172158
1607,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1608,0.162181,0.15727,0.165226,0.156148,0.186382,0.172792
1609,0.157792,0.153486,0.16697,0.154709,0.194831,0.172213
1610,0.158316,0.153956,0.167376,0.154481,0.194008,0.171864
1611,0.160619,0.156263,0.16594,0.155603,0.188932,0.172642
1612,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1613,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1614,0.161752,0.157222,0.16539,0.155984,0.187221,0.17243
1615,0.166593,0.160097,0.162511,0.155514,0.183194,0.172089
1616,0.161806,0.157048,0.16542,0.15604,0.187171,0.172516
1617,0.164993,0.158623,0.164138,0.155784,0.183762,0.172701
1618,0.162,0.157161,0.165236,0.156196,0.186821,0.172586
1619,0.162036,0.1573,0.165228,0.156145,0.186546,0.172745
1620,0.166814,0.159912,0.162571,0.155514,0.1828,0.172389
1621,0.160219,0.155779,0.16597,0.155656,0.18969,0.172687
1622,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1623,0.161975,0.157238,0.165284,0.156215,0.186659,0.172629
1624,0.162353,0.157504,0.1652,0.156135,0.186322,0.172488
1625,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1626,0.166677,0.160067,0.162537,0.155358,0.183052,0.172309
1627,0.158104,0.154012,0.167019,0.154594,0.194659,0.171611
1628,0.166709,0.159927,0.162714,0.155386,0.182829,0.172435
1629,0.171183,0.163762,0.157979,0.154807,0.180379,0.171891
1630,0.163448,0.158245,0.164171,0.156672,0.184605,0.172859
1631,0.15888,0.154975,0.166168,0.155628,0.191131,0.173218
1632,0.16959,0.162493,0.159719,0.155122,0.181313,0.171763
1633,0.165024,0.158691,0.164164,0.155621,0.183929,0.172571
1634,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1635,0.16163,0.157347,0.165181,0.156106,0.187283,0.172453
1636,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1637,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1638,0.162114,0.157048,0.165392,0.156012,0.186666,0.172767
1639,0.158763,0.154836,0.166418,0.154991,0.191801,0.173191
1640,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1641,0.171214,0.163495,0.157935,0.154689,0.180119,0.172548
1642,0.160708,0.156267,0.165702,0.155963,0.188744,0.172616
1643,0.158511,0.154301,0.166501,0.155168,0.192744,0.172775
1644,0.168265,0.161471,0.160979,0.155344,0.182101,0.171841
1645,0.159078,0.154829,0.166516,0.155866,0.190733,0.172977
1646,0.169817,0.16198,0.159774,0.155213,0.180851,0.172365
1647,0.158827,0.154641,0.166407,0.155194,0.192105,0.172825
1648,0.164894,0.15875,0.164218,0.155672,0.184094,0.172371
1649,0.164806,0.15891,0.16417,0.155425,0.184515,0.172174
1650,0.158444,0.154363,0.166507,0.155161,0.192675,0.172849
1651,0.163228,0.157898,0.164794,0.156261,0.185177,0.172641
1652,0.161933,0.157127,0.165358,0.156061,0.187024,0.172497
1653,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1654,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1655,0.163405,0.157889,0.164753,0.156079,0.18499,0.172884
1656,0.169528,0.162371,0.159793,0.155139,0.181379,0.171791
1657,0.161103,0.156474,0.16568,0.155613,0.188451,0.172679
1658,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1659,0.158779,0.154561,0.166415,0.155057,0.192418,0.172772
1660,0.164786,0.158859,0.164173,0.155454,0.184385,0.172343
1661,0.158247,0.154302,0.16659,0.155126,0.193199,0.172536
1662,0.161262,0.156594,0.165578,0.155897,0.188055,0.172613
1663,0.166395,0.160124,0.162536,0.155522,0.183306,0.172118
1664,0.166477,0.160267,0.162693,0.15553,0.183567,0.171465
1665,0.161861,0.156999,0.165311,0.156101,0.187286,0.172443
1666,0.162165,0.15701,0.165237,0.156086,0.186674,0.172827
1667,0.158809,0.15467,0.166427,0.155037,0.192107,0.17295
1668,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1669,0.163211,0.158239,0.164691,0.156085,0.184956,0.172818
1670,0.158179,0.154048,0.167065,0.154348,0.193205,0.173156
1671,0.164008,0.157862,0.164359,0.156313,0.184407,0.17305
1672,0.158597,0.154426,0.166427,0.155134,0.192549,0.172866
1673,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1674,0.158995,0.154585,0.166267,0.1556,0.191627,0.172925
1675,0.163071,0.158119,0.164928,0.155795,0.18611,0.171977
1676,0.1669,0.159885,0.162588,0.155324,0.182889,0.172414
1677,0.158891,0.154594,0.166278,0.155097,0.192147,0.172994
1678,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1679,0.163187,0.158143,0.164844,0.155742,0.185664,0.17242
1680,0.158625,0.154394,0.166686,0.155102,0.192423,0.17277
1681,0.163271,0.157968,0.164875,0.155978,0.185339,0.172569
1682,0.163362,0.15807,0.164724,0.155949,0.185024,0.172871
1683,0.158711,0.154057,0.166766,0.154971,0.192939,0.172556
1684,0.158633,0.154427,0.166577,0.154963,0.19274,0.172661
1685,0.158414,0.154297,0.166507,0.15486,0.193198,0.172724
1686,0.157953,0.154035,0.166831,0.154385,0.193925,0.172871
1687,0.160492,0.156061,0.165828,0.155799,0.189212,0.172608
1688,0.15888,0.154508,0.166433,0.155003,0.19209,0.173085
1689,0.163333,0.158001,0.164882,0.155779,0.185488,0.172517
1690,0.163134,0.158095,0.164792,0.155806,0.185712,0.17246
1691,0.160981,0.156672,0.16568,0.155605,0.188479,0.172583
1692,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1693,0.15879,0.154746,0.166422,0.155149,0.191949,0.172945
1694,0.158557,0.154403,0.166619,0.154774,0.19284,0.172807
1695,0.158231,0.154018,0.166988,0.154752,0.193456,0.172554
1696,0.158571,0.154246,0.166687,0.154922,0.192827,0.172746
1697,0.158998,0.154178,0.166437,0.155201,0.192376,0.172809
1698,0.160508,0.156213,0.165884,0.1556,0.189261,0.172534
1699,0.158708,0.154985,0.166486,0.155083,0.191572,0.173166
1700,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1701,0.158672,0.154716,0.166465,0.155319,0.192141,0.172687
1702,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1703,0.1613,0.156767,0.165434,0.156084,0.187676,0.17274
1704,0.166732,0.160091,0.162831,0.154987,0.183142,0.172216
1705,0.158731,0.15436,0.166534,0.154937,0.192477,0.172961
1706,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1707,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1708,0.163538,0.158073,0.164517,0.156215,0.184889,0.172768
1709,0.166538,0.160177,0.16272,0.155113,0.183406,0.172046
1710,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1711,0.160302,0.155902,0.16594,0.155701,0.18945,0.172706
1712,0.163433,0.157807,0.164791,0.156025,0.185104,0.17284
1713,0.166539,0.160055,0.162625,0.155393,0.183398,0.171991
1714,0.161425,0.156744,0.165568,0.155872,0.187812,0.172579
1715,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1716,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1717,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1718,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1719,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1720,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1721,0.164832,0.158887,0.164206,0.155428,0.18448,0.172167
1722,0.158659,0.154499,0.16666,0.154954,0.192387,0.172841
1723,0.166622,0.160189,0.162637,0.155238,0.183358,0.171955
1724,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1725,0.158812,0.154354,0.166523,0.155049,0.192421,0.172842
1726,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1727,0.163451,0.157766,0.164905,0.156203,0.184989,0.172686
1728,0.158634,0.154235,0.166683,0.154886,0.192897,0.172666
1729,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1730,0.158778,0.154716,0.166568,0.155066,0.191968,0.172904
1731,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1732,0.158475,0.154619,0.166637,0.15503,0.19241,0.172829
1733,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1734,0.163576,0.157776,0.164668,0.156014,0.184914,0.173051
1735,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1736,0.15826,0.154075,0.166923,0.1548,0.193471,0.172471
1737,0.161027,0.156607,0.165721,0.155718,0.188364,0.172563
1738,0.158745,0.15451,0.166635,0.15486,0.192422,0.172829
1739,0.158741,0.154984,0.1659,0.155748,0.191531,0.173097
1740,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1741,0.16414,0.158174,0.164072,0.156432,0.183937,0.173245
1742,0.163292,0.157974,0.164758,0.155849,0.185419,0.172708
1743,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
1744,0.169522,0.162226,0.159771,0.155305,0.181128,0.172048
1745,0.158656,0.154427,0.166524,0.154927,0.1927,0.172766
1746,0.168327,0.161342,0.161097,0.155172,0.182176,0.171886
1747,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
1748,0.161158,0.156327,0.165735,0.155696,0.188378,0.172707
1749,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
