TAZ,commercial_commercial,commercial_resident,commercial_industrial,commercial_public,commercial_transport,commercial_other,resident_commercial,resident_resident,resident_industrial,resident_public,resident_transport,resident_other,industrial_commercial,industrial_resident,industrial_industrial,industrial_public,industrial_transport,industrial_other,public_commercial,public_resident,public_industrial,public_public,public_transport,public_other,transport_commercial,transport_resident,transport_industrial,transport_public,transport_transport,transport_other,other_commercial,other_resident,other_industrial,other_public,other_transport,other_other
360,6.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,12.0,1.0,0.0,1.0,3.0,1.0,3.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0
361,4.0,2.0,1.0,3.0,1.0,0.0,3.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,2.0,5.0,4.0,1.0,0.0,3.0,11.0,2.0,3.0,1.0,2.0,3.0,3.0,12.0
362,19.0,3.0,2.0,4.0,0.0,3.0,2.0,8.0,4.0,2.0,0.0,2.0,1.0,0.0,8.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,7.0,6.0,1.0,6.0,2.0,0.0,3.0,4.0
363,9.0,1.0,2.0,2.0,0.0,3.0,3.0,9.0,2.0,2.0,2.0,1.0,0.0,3.0,14.0,1.0,4.0,3.0,4.0,3.0,1.0,9.0,2.0,1.0,5.0,4.0,1.0,3.0,11.0,3.0,1.0,1.0,0.0,2.0,2.0,9.0
364,8.0,3.0,2.0,3.0,1.0,3.0,1.0,13.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,5.0,4.0,6.0,2.0,3.0,13.0,1.0,3.0,1.0,1.0,2.0,3.0,7.0,2.0,4.0,2.0,1.0,0.0,3.0,5.0
365,11.0,3.0,3.0,1.0,6.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,10.0,5.0,3.0,0.0,5.0,0.0,1.0,11.0,1.0,5.0,1.0,2.0,2.0,0.0,8.0,3.0,3.0,1.0,1.0,1.0,0.0,8.0
366,10.0,5.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,4.0,2.0,3.0,4.0,1.0,1.0,12.0,1.0,3.0,3.0,2.0,2.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0
367,7.0,4.0,2.0,4.0,3.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,3.0,2.0,0.0,0.0,14.0,2.0,1.0,3.0,5.0,1.0,3.0,9.0,0.0,2.0,2.0,3.0,4.0,2.0,10.0
368,12.0,2.0,1.0,2.0,5.0,4.0,3.0,9.0,0.0,2.0,4.0,2.0,3.0,0.0,11.0,2.0,1.0,3.0,2.0,1.0,2.0,10.0,1.0,4.0,4.0,1.0,1.0,5.0,10.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0
369,9.0,8.0,2.0,2.0,3.0,4.0,7.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,10.0,5.0,0.0,1.0,3.0,0.0,2.0,11.0,1.0,2.0,1.0,1.0,4.0,1.0,18.0,3.0,0.0,0.0,1.0,4.0,3.0,6.0
370,6.0,2.0,0.0,1.0,2.0,3.0,1.0,9.0,0.0,2.0,2.0,3.0,1.0,3.0,7.0,0.0,1.0,3.0,2.0,2.0,1.0,13.0,6.0,1.0,2.0,2.0,3.0,0.0,6.0,1.0,3.0,5.0,1.0,2.0,4.0,7.0
371,4.0,2.0,0.0,1.0,1.0,2.0,2.0,8.0,2.0,0.0,1.0,1.0,4.0,2.0,9.0,2.0,3.0,1.0,1.0,1.0,0.0,8.0,1.0,2.0,0.0,1.0,2.0,1.0,11.0,1.0,1.0,7.0,2.0,0.0,3.0,9.0
372,6.0,4.0,2.0,4.0,3.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0,1.0,5.0,0.0,1.0,1.0,8.0,6.0,1.0,6.0,2.0,5.0,4.0,7.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0
373,7.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,0.0,4.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,3.0,1.0,1.0,4.0,0.0,1.0,10.0,3.0,4.0,3.0,5.0,5.0,0.0,9.0
374,10.0,3.0,3.0,3.0,2.0,4.0,2.0,7.0,5.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,10.0,2.0,1.0,3.0,2.0,3.0,0.0,10.0,2.0,4.0,0.0,0.0,6.0,4.0,11.0
375,7.0,3.0,1.0,0.0,3.0,3.0,1.0,12.0,1.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,0.0,2.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,7.0
376,8.0,2.0,1.0,2.0,4.0,5.0,1.0,9.0,3.0,4.0,2.0,5.0,4.0,3.0,11.0,1.0,4.0,2.0,2.0,1.0,5.0,9.0,5.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,15.0
377,11.0,2.0,0.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,8.0,0.0,2.0,10.0,0.0,0.0,2.0,1.0,0.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0
378,12.0,1.0,4.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,2.0,3.0,2.0,0.0,8.0,1.0,1.0,5.0,4.0,3.0,2.0,10.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,2.0,4.0,7.0
379,4.0,3.0,2.0,1.0,5.0,4.0,2.0,8.0,1.0,2.0,4.0,1.0,3.0,2.0,6.0,4.0,2.0,3.0,0.0,1.0,3.0,12.0,3.0,3.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,4.0,1.0,1.0,3.0,12.0
380,4.0,2.0,1.0,1.0,4.0,3.0,3.0,10.0,2.0,3.0,1.0,5.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,5.0,2.0,5.0,8.0,0.0,5.0,2.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,7.0
381,7.0,2.0,1.0,3.0,2.0,2.0,1.0,14.0,1.0,0.0,1.0,5.0,1.0,1.0,10.0,1.0,3.0,1.0,2.0,3.0,1.0,10.0,3.0,1.0,3.0,1.0,2.0,0.0,8.0,0.0,2.0,3.0,1.0,2.0,3.0,10.0
382,4.0,4.0,4.0,2.0,0.0,3.0,1.0,9.0,4.0,3.0,3.0,1.0,1.0,3.0,5.0,3.0,0.0,2.0,0.0,3.0,4.0,12.0,0.0,3.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0
383,7.0,3.0,1.0,3.0,2.0,1.0,1.0,6.0,3.0,2.0,4.0,2.0,2.0,0.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,4.0,3.0,14.0,2.0,1.0,4.0,0.0,2.0,2.0,6.0
384,5.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,0.0,12.0,0.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,3.0,2.0,3.0,2.0,6.0
385,8.0,2.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,5.0,3.0,3.0,4.0,2.0,7.0,2.0,2.0,4.0,0.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,12.0
386,8.0,1.0,1.0,1.0,3.0,6.0,2.0,8.0,4.0,1.0,2.0,3.0,0.0,4.0,11.0,2.0,1.0,3.0,0.0,3.0,0.0,8.0,2.0,2.0,5.0,1.0,2.0,0.0,11.0,2.0,3.0,0.0,3.0,2.0,4.0,12.0
387,11.0,0.0,2.0,3.0,4.0,4.0,1.0,7.0,1.0,2.0,1.0,3.0,0.0,3.0,15.0,4.0,1.0,1.0,2.0,2.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,0.0,3.0,1.0,6.0
388,8.0,2.0,4.0,0.0,2.0,1.0,2.0,8.0,1.0,4.0,1.0,4.0,2.0,3.0,7.0,2.0,1.0,0.0,3.0,1.0,1.0,12.0,1.0,2.0,0.0,1.0,2.0,1.0,11.0,5.0,1.0,3.0,5.0,1.0,3.0,10.0
389,1.0,2.0,0.0,2.0,2.0,1.0,2.0,11.0,1.0,3.0,0.0,2.0,2.0,0.0,8.0,1.0,3.0,1.0,3.0,1.0,2.0,6.0,1.0,4.0,6.0,4.0,1.0,4.0,7.0,4.0,2.0,1.0,1.0,4.0,1.0,7.0
390,11.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,4.0,11.0,3.0,3.0,5.0,5.0,3.0,1.0,7.0,2.0,1.0,7.0,2.0,1.0,1.0,7.0,0.0,1.0,3.0,2.0,0.0,0.0,8.0
391,10.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,8.0,3.0,0.0,2.0,2.0,1.0,2.0,8.0,1.0,1.0,5.0,2.0,6.0,5.0,17.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0
392,11.0,1.0,3.0,3.0,2.0,2.0,3.0,7.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,0.0,4.0,3.0,2.0,2.0,1.0,6.0,2.0,2.0,3.0,1.0,3.0,3.0,7.0,0.0,1.0,2.0,3.0,3.0,0.0,7.0
393,8.0,3.0,1.0,1.0,3.0,1.0,2.0,11.0,2.0,3.0,3.0,3.0,0.0,4.0,10.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,5.0,1.0,10.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0
394,8.0,7.0,3.0,2.0,0.0,2.0,3.0,4.0,4.0,0.0,2.0,2.0,2.0,3.0,10.0,1.0,2.0,1.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,9.0
395,6.0,1.0,1.0,0.0,3.0,6.0,2.0,8.0,2.0,1.0,3.0,0.0,2.0,3.0,7.0,3.0,4.0,4.0,5.0,4.0,2.0,11.0,4.0,3.0,1.0,2.0,3.0,1.0,8.0,2.0,0.0,2.0,4.0,0.0,2.0,6.0
396,10.0,3.0,3.0,3.0,0.0,2.0,3.0,7.0,2.0,1.0,4.0,3.0,2.0,1.0,15.0,1.0,3.0,3.0,0.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,3.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,7.0
397,7.0,2.0,0.0,2.0,2.0,2.0,2.0,9.0,2.0,4.0,2.0,3.0,3.0,6.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,9.0,3.0,1.0,3.0,2.0,1.0,3.0,9.0
398,6.0,1.0,3.0,0.0,0.0,3.0,2.0,7.0,1.0,2.0,1.0,3.0,2.0,1.0,8.0,3.0,2.0,1.0,2.0,2.0,0.0,8.0,1.0,2.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,14.0
399,7.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,2.0,8.0,3.0,3.0,3.0,0.0,1.0,1.0,9.0
400,7.0,2.0,1.0,3.0,1.0,2.0,6.0,7.0,4.0,0.0,3.0,2.0,3.0,2.0,9.0,1.0,5.0,0.0,6.0,3.0,2.0,8.0,0.0,1.0,2.0,2.0,1.0,2.0,12.0,1.0,4.0,4.0,3.0,4.0,2.0,5.0
401,9.0,1.0,1.0,3.0,0.0,2.0,2.0,8.0,2.0,1.0,5.0,1.0,4.0,6.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,9.0,4.0,5.0,1.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,5.0
402,5.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,11.0,0.0,1.0,5.0,1.0,2.0,0.0,6.0,2.0,1.0,5.0,1.0,2.0,3.0,6.0,0.0,3.0,1.0,2.0,4.0,0.0,8.0
403,1.0,1.0,3.0,1.0,3.0,1.0,1.0,10.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,5.0,4.0,2.0,2.0,5.0,8.0,2.0,4.0,2.0,2.0,1.0,1.0,6.0
404,8.0,3.0,2.0,3.0,0.0,0.0,3.0,9.0,2.0,2.0,3.0,2.0,1.0,3.0,11.0,0.0,1.0,1.0,2.0,3.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,2.0,10.0,2.0,4.0,4.0,1.0,3.0,1.0,8.0
405,7.0,1.0,0.0,2.0,2.0,1.0,3.0,8.0,2.0,3.0,4.0,4.0,1.0,2.0,6.0,2.0,2.0,5.0,2.0,1.0,2.0,8.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,7.0
406,3.0,1.0,5.0,2.0,4.0,2.0,3.0,10.0,1.0,2.0,0.0,5.0,3.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,1.0,1.0,7.0,2.0,1.0,3.0,3.0,2.0,1.0,7.0
407,7.0,3.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,9.0,0.0,1.0,4.0,0.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,5.0,7.0
408,4.0,1.0,2.0,0.0,2.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,3.0,6.0,2.0,5.0,1.0,2.0,3.0,1.0,14.0
409,8.0,3.0,3.0,0.0,1.0,3.0,2.0,11.0,2.0,1.0,3.0,2.0,4.0,2.0,12.0,3.0,2.0,4.0,0.0,2.0,3.0,10.0,1.0,2.0,1.0,2.0,2.0,5.0,16.0,5.0,1.0,0.0,3.0,2.0,2.0,8.0
410,5.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,0.0,4.0,2.0,4.0,3.0,2.0,7.0,1.0,5.0,2.0,3.0,1.0,0.0,19.0,2.0,1.0,3.0,0.0,4.0,0.0,9.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0
411,7.0,3.0,1.0,2.0,2.0,5.0,3.0,13.0,1.0,2.0,4.0,1.0,4.0,2.0,10.0,1.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,1.0,1.0,12.0
412,4.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,2.0,2.0,0.0,3.0,3.0,2.0,8.0,5.0,1.0,3.0,5.0,1.0,2.0,6.0
413,9.0,1.0,1.0,2.0,3.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,3.0,2.0,7.0,1.0,1.0,2.0,2.0,4.0,2.0,10.0,3.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,8.0,1.0,4.0,1.0,3.0,6.0
414,12.0,5.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,3.0,4.0,1.0,2.0,3.0,2.0,10.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0
415,7.0,3.0,1.0,1.0,5.0,2.0,3.0,8.0,1.0,4.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,0.0,3.0,4.0,0.0,7.0,2.0,1.0,3.0,1.0,2.0,0.0,4.0,3.0,0.0,4.0,4.0,3.0,2.0,5.0
416,12.0,3.0,2.0,2.0,2.0,1.0,0.0,7.0,0.0,1.0,2.0,7.0,3.0,1.0,10.0,2.0,1.0,1.0,3.0,2.0,1.0,8.0,2.0,1.0,0.0,1.0,1.0,3.0,7.0,2.0,2.0,2.0,5.0,2.0,1.0,13.0
417,6.0,3.0,2.0,2.0,0.0,2.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,14.0,3.0,2.0,2.0,1.0,6.0,2.0,9.0
418,3.0,0.0,1.0,1.0,2.0,4.0,1.0,9.0,3.0,3.0,3.0,5.0,6.0,2.0,8.0,2.0,2.0,4.0,0.0,2.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,1.0,7.0,10.0
419,14.0,5.0,4.0,1.0,2.0,1.0,4.0,14.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,7.0,1.0,0.0,0.0,7.0,3.0,2.0,10.0,1.0,0.0,0.0,4.0,2.0,1.0,6.0
420,16.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,3.0,4.0,6.0,2.0,3.0,2.0,3.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,12.0,3.0,1.0,3.0,3.0,6.0,4.0,6.0
421,7.0,1.0,3.0,2.0,3.0,1.0,4.0,13.0,6.0,1.0,2.0,1.0,4.0,1.0,12.0,1.0,3.0,0.0,0.0,2.0,1.0,9.0,3.0,1.0,0.0,2.0,0.0,4.0,10.0,1.0,1.0,3.0,1.0,0.0,2.0,7.0
422,10.0,4.0,1.0,1.0,1.0,2.0,1.0,7.0,0.0,2.0,4.0,1.0,1.0,3.0,16.0,2.0,2.0,1.0,1.0,1.0,3.0,11.0,0.0,5.0,2.0,2.0,2.0,3.0,10.0,1.0,2.0,3.0,2.0,2.0,3.0,8.0
423,9.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,11.0,2.0,4.0,0.0,4.0,1.0,5.0,6.0,3.0,5.0,3.0,1.0,0.0,3.0,11.0,0.0,2.0,5.0,2.0,0.0,2.0,7.0
424,11.0,0.0,5.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,2.0,6.0,1.0,4.0,2.0,3.0,2.0,2.0,8.0,3.0,4.0,1.0,4.0,0.0,1.0,10.0,3.0,1.0,2.0,0.0,2.0,1.0,9.0
425,10.0,2.0,2.0,0.0,2.0,4.0,0.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,2.0,6.0,3.0,1.0,2.0,4.0,1.0,2.0,11.0
426,8.0,4.0,3.0,2.0,2.0,2.0,2.0,9.0,2.0,3.0,2.0,3.0,4.0,2.0,14.0,3.0,1.0,4.0,1.0,1.0,0.0,10.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0
427,6.0,2.0,1.0,1.0,2.0,2.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,0.0,2.0,10.0,1.0,0.0,2.0,1.0,3.0,8.0,11.0,3.0,1.0,3.0,1.0,4.0,2.0,15.0
428,8.0,1.0,2.0,3.0,5.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,5.0,2.0,2.0,1.0,3.0,0.0,8.0,2.0,2.0,3.0,1.0,3.0,0.0,12.0
429,7.0,2.0,2.0,2.0,1.0,3.0,4.0,9.0,3.0,1.0,2.0,2.0,2.0,3.0,7.0,1.0,0.0,3.0,3.0,1.0,3.0,11.0,0.0,3.0,5.0,3.0,3.0,1.0,9.0,3.0,2.0,6.0,1.0,2.0,4.0,11.0
430,9.0,1.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,3.0,0.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,10.0,2.0,3.0,0.0,2.0,2.0,1.0,6.0,4.0,2.0,5.0,1.0,2.0,1.0,12.0
431,10.0,1.0,3.0,2.0,1.0,3.0,1.0,6.0,5.0,3.0,1.0,2.0,6.0,3.0,10.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0
432,7.0,3.0,1.0,2.0,2.0,2.0,4.0,8.0,2.0,3.0,3.0,0.0,2.0,3.0,9.0,1.0,3.0,2.0,1.0,2.0,2.0,8.0,3.0,4.0,1.0,4.0,4.0,2.0,8.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0
433,11.0,1.0,2.0,1.0,2.0,1.0,4.0,8.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,2.0,1.0,11.0,2.0,6.0,3.0,2.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0
434,5.0,1.0,2.0,1.0,1.0,0.0,1.0,7.0,3.0,3.0,1.0,3.0,2.0,4.0,9.0,1.0,2.0,2.0,0.0,0.0,3.0,11.0,2.0,4.0,4.0,0.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,7.0
435,4.0,1.0,1.0,1.0,4.0,0.0,4.0,9.0,0.0,2.0,4.0,1.0,0.0,0.0,7.0,3.0,5.0,2.0,3.0,0.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,10.0
436,8.0,6.0,0.0,3.0,3.0,3.0,1.0,10.0,3.0,0.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,9.0,2.0,4.0,1.0,1.0,0.0,2.0,7.0,1.0,3.0,1.0,2.0,2.0,2.0,7.0
437,6.0,2.0,3.0,0.0,0.0,3.0,3.0,8.0,3.0,3.0,3.0,0.0,3.0,1.0,9.0,2.0,5.0,1.0,1.0,1.0,2.0,7.0,3.0,4.0,1.0,4.0,4.0,2.0,9.0,1.0,2.0,4.0,2.0,2.0,0.0,9.0
438,8.0,3.0,0.0,2.0,1.0,2.0,1.0,6.0,1.0,4.0,1.0,0.0,2.0,2.0,10.0,1.0,3.0,3.0,1.0,3.0,1.0,11.0,1.0,7.0,1.0,1.0,3.0,5.0,7.0,5.0,1.0,1.0,3.0,3.0,1.0,6.0
439,7.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,4.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,1.0,2.0,3.0,1.0,4.0,1.0,11.0,0.0,2.0,4.0,3.0,4.0,0.0,7.0
440,7.0,0.0,1.0,2.0,7.0,0.0,1.0,10.0,5.0,1.0,1.0,1.0,1.0,2.0,14.0,1.0,0.0,3.0,1.0,0.0,2.0,9.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,4.0,0.0,1.0,10.0
441,5.0,2.0,4.0,0.0,2.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,7.0,1.0,15.0,5.0,0.0,2.0,2.0,4.0,0.0,11.0,2.0,4.0,2.0,0.0,4.0,0.0,7.0,2.0,3.0,3.0,3.0,2.0,3.0,10.0
442,9.0,2.0,1.0,0.0,1.0,1.0,3.0,10.0,2.0,5.0,1.0,3.0,1.0,4.0,14.0,2.0,4.0,2.0,3.0,0.0,1.0,12.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,3.0,3.0,10.0
443,7.0,1.0,2.0,2.0,2.0,3.0,3.0,8.0,2.0,1.0,2.0,3.0,3.0,1.0,14.0,0.0,1.0,0.0,4.0,0.0,5.0,7.0,4.0,0.0,5.0,1.0,2.0,1.0,11.0,2.0,3.0,1.0,0.0,2.0,2.0,8.0
444,10.0,3.0,2.0,1.0,3.0,1.0,2.0,8.0,0.0,6.0,4.0,2.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,2.0,2.0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,4.0,5.0,10.0
445,3.0,0.0,4.0,4.0,2.0,1.0,4.0,15.0,2.0,4.0,3.0,2.0,3.0,0.0,6.0,4.0,4.0,1.0,2.0,2.0,2.0,7.0,0.0,3.0,1.0,2.0,2.0,3.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,9.0
446,8.0,4.0,3.0,3.0,5.0,3.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,2.0,8.0,3.0,3.0,2.0,2.0,0.0,2.0,13.0,3.0,1.0,7.0,3.0,3.0,4.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,7.0
447,7.0,5.0,5.0,0.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,4.0,9.0,1.0,10.0,1.0,3.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,3.0,0.0,2.0,3.0,8.0,2.0,5.0,2.0,1.0,2.0,2.0,12.0
448,13.0,0.0,3.0,1.0,1.0,1.0,2.0,9.0,2.0,3.0,3.0,2.0,3.0,1.0,7.0,3.0,2.0,3.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0,10.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0
449,9.0,3.0,3.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,2.0,3.0,10.0,1.0,1.0,0.0,2.0,3.0,4.0,5.0,2.0,3.0,1.0,1.0,0.0,3.0,9.0,1.0,2.0,3.0,0.0,1.0,2.0,8.0
450,7.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,0.0,2.0,11.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,4.0,2.0,8.0,1.0,1.0,1.0,2.0,3.0,2.0,9.0
451,7.0,3.0,2.0,5.0,1.0,3.0,5.0,8.0,0.0,2.0,1.0,6.0,3.0,3.0,5.0,2.0,4.0,3.0,1.0,2.0,1.0,9.0,2.0,3.0,0.0,3.0,0.0,1.0,10.0,2.0,2.0,1.0,0.0,1.0,2.0,8.0
452,11.0,2.0,2.0,2.0,0.0,2.0,1.0,7.0,2.0,1.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,3.0,1.0,2.0,9.0
453,6.0,1.0,2.0,1.0,2.0,2.0,4.0,8.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,0.0,3.0,7.0,5.0,2.0,1.0,5.0,3.0,1.0,9.0
